title,price,status,rating,image
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,In stock,Three,../media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
The Art Forger,40.76,In stock,Three,../media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock,One,../media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,Five,../media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,In stock,Four,../media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
Soul Reader,39.58,In stock,Two,../media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
Security,39.25,In stock,Two,../media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,Three,../media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,Two,../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,Two,../media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,Three,../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,Five,../media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,Five,../media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
"Pop Gun War, Volume 1: Gift",18.97,In stock,One,../media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,Two,../media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
Patience,10.16,In stock,Three,../media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,Four,../media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,One,../media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,One,../media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
On a Midnight Clear,14.07,In stock,Three,../media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
Obsidian (Lux #1),14.86,In stock,Two,../media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg
My Paris Kitchen: Recipes and Stories,33.37,In stock,Two,../media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg
Masks and Shadows,56.4,In stock,Two,../media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,Four,../media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,Two,../media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,Three,../media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,Two,../media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,One,../media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,In stock,Two,../media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg
Join,35.67,In stock,Five,../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg
In the Country We Love: My Family Divided,22.0,In stock,Four,../media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,Five,../media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,Two,../media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg
I am a Hero Omnibus Volume 1,54.63,In stock,Three,../media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg
How to Be Miserable: 40 Strategies You Already Use,46.03,In stock,One,../media/cache/da/8b/da8bc9b824dd3f446ef63e438ddbfc85.jpg
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,One,../media/cache/1e/bb/1ebbbc3e2d3249b111033cfc40763b0b.jpg
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,Two,../media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,Three,../media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg
First and First (Five Boroughs #3),15.97,In stock,Four,../media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,One,../media/cache/cc/bd/ccbdae9e29b3594301528fa2c876ec29.jpg
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,In stock,Two,../media/cache/64/94/6494bf61176ca73b61255909230030be.jpg
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,In stock,Two,../media/cache/95/30/953013d044aa313cc162dec414f3969a.jpg
Danganronpa Volume 1,51.99,In stock,Four,../media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg
Crown of Midnight (Throne of Glass #2),43.29,In stock,Three,../media/cache/66/25/6625e3bbb050de3e42a0c302c0d69f1f.jpg
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,Four,../media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg
Camp Midnight,17.08,In stock,Four,../media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,In stock,Five,../media/cache/88/9e/889e0bac4c7c0e7178f0165b8d3b4617.jpg
Burning,28.81,In stock,Three,../media/cache/26/95/269507c7bb35d2cec9b61a03d1c28e67.jpg
Bossypants,49.46,In stock,Two,../media/cache/27/d2/27d20361745ec2f7be668b18a4da29da.jpg
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,Two,../media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,In stock,Two,../media/cache/06/18/061811c5845d0e13bc04b2a755f0830f.jpg
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,One,../media/cache/23/b4/23b42e094c02d52b14b11a960d49610e.jpg
A World of Flavor: Your Gluten Free Passport,42.95,In stock,One,../media/cache/78/2e/782e315667ec50759b8603527ee33dec.jpg
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,Five,../media/cache/08/89/088995e862aac86c88c608d763f6390e.jpg
A Murder in Time,16.64,In stock,One,../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg
A Flight of Arrows (The Pathfinders #2),55.53,In stock,Five,../media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg
A Fierce and Subtle Poison,28.13,In stock,Four,../media/cache/12/f1/12f1963957f27fa83d51f76b183ef490.jpg
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,One,../media/cache/c0/88/c08816960890396213a423941af65b8f.jpg
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,In stock,Five,../media/cache/cd/db/cddb3eb483ef11a088d519205b7098fb.jpg
You Are What You Love: The Spiritual Power of Habit,21.87,In stock,Four,../media/cache/6b/70/6b70f2cdb17d9ab7551240a88b9211fe.jpg
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,In stock,Four,../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg
Tuesday Nights in 1980,21.04,In stock,Two,../media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg
Tracing Numbers on a Train,41.6,In stock,Three,../media/cache/06/a6/06a6cfcf89afd1601cbba1a16cda57fb.jpg
Throne of Glass (Throne of Glass #1),35.07,In stock,Three,../media/cache/32/d6/32d6aa560e8ddf2a4da1526b95d4c7ab.jpg
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,In stock,One,../media/cache/97/47/974709d437b08e74649b5744471bf472.jpg
Thirteen Reasons Why,52.72,In stock,One,../media/cache/8a/83/8a83b6ce350f01bab21f85e6ba539316.jpg
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,In stock,Four,../media/cache/26/32/2632a1e12f2c085fabbe022ae4cd6933.jpg
The Wedding Dress,24.12,In stock,One,../media/cache/28/99/28992d89f4abf54fba183fc8d074adf3.jpg
The Vacationers,42.15,In stock,Four,../media/cache/37/25/372578cc073efae80cf284b56040a488.jpg
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,In stock,Five,../media/cache/d0/77/d077a30042df6b916bfc8d257345c69e.jpg
The Stranger,17.44,In stock,Four,../media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg
The Shadow Hero (The Shadow Hero),33.14,In stock,One,../media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg
The Secret (The Secret #1),27.37,In stock,Four,../media/cache/4e/0f/4e0f05ae01d8fb6bd0d3901edd06de16.jpg
The Regional Office Is Under Attack!,51.36,In stock,Five,../media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg
The Psychopath Test: A Journey Through the Madness Industry,36.0,In stock,Two,../media/cache/34/f5/34f5f8e513c5f048241f5695e61b2483.jpg
The Project,10.65,In stock,One,../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg
The Power of Now: A Guide to Spiritual Enlightenment,43.54,In stock,Two,../media/cache/03/38/0338682e76bad3216cd4c6c28b2b625a.jpg
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,In stock,Two,../media/cache/14/f3/14f3d525e2a114cd71e27201a16af188.jpg
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,In stock,Five,../media/cache/61/bd/61bdfe3950643c47d70c37c4123530f3.jpg
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,Four,../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg
The Mistake (Off-Campus #2),43.29,In stock,Three,../media/cache/a5/43/a543b100a8c1861c1bf5374ca6b576fe.jpg
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,In stock,One,../media/cache/84/ac/84acb0606c96e55dc729a9d6572a08fb.jpg
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,In stock,Two,../media/cache/0d/1f/0d1f3f934460f5a50aaa8c366641234c.jpg
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock,One,../media/cache/f2/e5/f2e51dd2b26600459f8eaeb6b9eecaa7.jpg
The Kite Runner,41.82,In stock,Four,../media/cache/58/9d/589d73503d9a23d224de836134fae553.jpg
The House by the Lake,36.95,In stock,One,../media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg
The Glittering Court (The Glittering Court #1),44.28,In stock,One,../media/cache/3e/0b/3e0b16851bec08b6cbf78d5f64af9114.jpg
The Girl on the Train,55.02,In stock,Two,../media/cache/25/6c/256c946dd0962095f66c6de3b15ab300.jpg
The Genius of Birds,17.24,In stock,One,../media/cache/13/57/1357c6aa40c9e63d2f931927fbf81f3f.jpg
The Emerald Mystery,23.15,In stock,Two,../media/cache/81/58/81586cd0bf8743e1f5ed80b6a0e1fabe.jpg
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,In stock,One,../media/cache/54/89/54899b4584e941ceced511d81092c88a.jpg
